                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0959,                 1.0221,                 1.0778,                0.26547,                0.43333,                0.26532,                 0.1262,                 2.2108,                 3.0661,                 2.4921,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.1653,                 1.0424,                  1.083,                0.41944,                0.41111,                0.26431,                0.13688,                 2.1173,                 2.8574,                 2.4716,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.1586,                 1.0586,                 1.0833,                0.35641,                0.51326,                0.32384,                0.14278,                 2.2128,                 2.7959,                 2.5702,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.1152,                  1.031,                 1.0792,                0.35641,                0.51326,                0.32384,                0.14278,                 2.2128,                 2.7959,                 2.5702,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.1004,                 1.0909,                 1.1116,                0.34899,                0.43333,                 0.2977,                0.11998,                 2.3184,                 2.8754,                  2.615,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.0887,                0.97694,                 1.0762,                0.46075,                0.25556,                0.31574,                0.13183,                 2.3782,                 2.7567,                 2.6932,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.1885,                0.98884,                 1.0689,                0.74808,                0.25556,                0.32152,                0.16113,                 2.4209,                 2.6039,                 2.7029,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.1267,                 1.0077,                 1.0706,                0.74808,                0.25556,                0.32152,                0.16113,                 2.4209,                 2.6039,                 2.7029,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.1993,                 1.0467,                 1.1037,                0.39467,                0.34444,                0.31649,                0.15522,                 2.3483,                 2.5591,                 2.6161,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.0826,                0.96943,                 1.0442,                0.41676,                    0.2,                0.26465,                0.12845,                 2.2715,                 2.5963,                 2.4872,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.0683,                0.94973,                 1.0488,                0.31952,                0.31111,                0.23136,                0.10359,                 2.2237,                   2.71,                 2.4476,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.1138,                 1.0069,                 1.1148,                0.31952,                0.31111,                0.23136,                0.10359,                 2.2237,                   2.71,                 2.4476,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.1517,                0.97023,                 1.0663,                 0.2679,                0.27778,                0.28995,                0.12068,                 2.0535,                 2.7896,                 2.3914,              0.0010316,              0.0010316,              0.0010316
                     79,                    1.1,                  0.969,                  1.084,                0.24038,                0.27778,                0.28629,                0.14862,                 2.0684,                 2.8209,                 2.3834,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.0359,                0.94388,                 1.0333,                0.23512,                0.34444,                0.27909,                0.15691,                 2.0805,                 2.6932,                 2.4038,              0.0010151,              0.0010151,              0.0010151
                     81,                0.99184,                0.86561,                 1.0303,                0.23512,                0.34444,                0.27909,                0.15691,                 2.0805,                 2.6932,                 2.4038,              0.0010069,              0.0010069,              0.0010069
                     82,                0.99118,                  0.847,                 1.0137,                0.44321,                    0.4,                0.37312,                0.18848,                 2.1708,                 2.6074,                 2.5124,             0.00099862,             0.00099862,             0.00099862
